route_operator,first,second
"ПАТ ""Світловодське АТП-13507"", адреса: вул.Комсомольська, 38, м.Світловодськ, Кіровоградська область, АЕ 421019",Світловодськ,Кременчук
"ПП ""Нов-Транс-Авто"", адреса: вул. Котовського, буд. 106-А, м.Новоселиця, Чернівецька область, АЕ 421060",Городенка,Чернівці
"ПАТ ""Чорноморська транспортна компанія"", адреса:вул.Новощепний ряд, 5, м.Одеса, 65007, АГ588936",Одеса,Миколаїв
"ТДВ ""Кузнецовське АТП 15637"", адреса: м-н Північний промислової зони, 30, м.Кузнецовськ, Рівненська область, АВ 610954",Кузнецовськ,Луцьк
"ПП ""Євротранс Юг"", адреса: вул. Новогрушівська, 9, с.Грушівка, Первомайський район, Миколаївська область, АВ 508607",Первомайськ,Перегонівка
"ФОП Жарський Р.А., адреса: вул. Клари Цеткін, буд. 1, смт.Довбиш, Баранівський район, Житомирська область, АЕ 573047",Довбиш,Київ
"ПАТ ""Світловодське АТП-13507"", адреса: вул.Комсомольська, 38, м.Світловодськ, Кіровоградська область, АЕ 421019",Світловодськ,Кременчук
"ТОВ ""Аудит-Авто"", адреса: вул.Павлова, 21, м.Дніпропетровськ, АЕ 422908",Дніпропетровськ,Одеса
"МПП ""Руслана-Авто"", адреса: вул. Якуба Колоса, 11, кв. 57, м.Київ, АГ 592892",Голованівськ,Умань
"ТОВ ""УШ АТП 10943"", адреса:вул.Михайла Донця, буд.17/46, м.Київ, 01326, АЕ 421372 ",Стрілкове,Київ
"ПП ""Люкс-Авто-Транс"", адреса: вул. Попудренка, буд. 52, офіс 516, м.Київ, АД 077136",Київ,Черкаси
"ПАТ ""Світловодське АТП-13507"", адреса: вул.Комсомольська, 38, м.Світловодськ, Кіровоградська область, АЕ 421019",Світловодськ,Кременчук
"ПП ""ПиК"", адреса: вул.Колодязна, 18, кв.52, м.Миколаїв, АЕ 573194",Одеса,Миколаїв
"ТОВ ""Гюнсел"", адреса: вул. Федора Ернста, 3б, м.Київ, 03048, АГ 593998",Красноармійськ,Київ
"ТОВ ""Сервіс-Авто-2005"", адреса: вул.Героїв Дніпра, 65, кв.61, м.Черкаси, АЕ 187027",Черкаси,Київ
"ТОВ ""Турист"", адреса: вул. 7-а Пересипська, 2-а, м.Одеса, 65042, АД 075984",Одеса,Ялта
"ТОВ ""Авто-Експрес"", адреса: вул. Шевцової, 26, м.Волноваха, Донецька область, 85700, АЕ 572534",Донецьк,Рубіжне
"ПрАТ ""Краматорське АТП-11410"", адреса:вул.Орджонікідзе, 6, м.Краматорськ, Донецька область, АГ 590921",Краматорськ,Ялта
"ПП ""ТВАД"", адреса: просп.Палладіна, буд.18/30, кв.52, м.Київ, 03142, АГ 590907",Верховина,Київ
"ПАТ ""Чорноморська транспортна компанія"", адреса:вул.Новощепний ряд, 5, м.Одеса, 65007, АГ588936",Одеса,Миколаїв
"ФОП Плохута О.І., адреса: вул.Сумгаїтська, 51, кв.20, м.Черкаси, АГ 592036",Новомиргород,Черкаси
"ПП ""А.Т.Н."", адреса: вул. Чистяківська, 2-А, кв.500, м.Київ, АГ 587717",Київ,Вінниця
"ФОП Стужна В.В., адреса: вул. Щорса, 33, с.Новий биків, Бобровицький район, Чернігівська область, АГ 503108",Київ,Черкаси
"ПАТ ""Світловодське АТП-13507"", адреса: вул.Комсомольська, 38, м.Світловодськ, Кіровоградська область, АЕ 421019",Світловодськ,Кременчук
"ПАТ ""Чорноморська транспортна компанія"", адреса:вул.Новощепний ряд, 5, м.Одеса, 65007, АГ588936",Одеса,Миколаїв
"ФОП Стамбульський О.Й., адреса: Рівненська, буд. 81, кв. 4, м.Луцьк, АВ 616385",Луцьк,Баболоки
"ФОП Ракочий М.В., адреса: вул.Загребля, с.Настасів, Тернопільський район, Тернопільська область, АВ 550559",Тернопіль,Стрий
"ПАТ ""Чорноморська транспортна компанія"", адреса:вул.Новощепний ряд, 5, м.Одеса, 65007, АГ588936",Одеса,Миколаїв
"ФОП Плохута О.І., адреса: вул.Сумгаїтська, 51, кв.20, м.Черкаси, АГ 592036",Новомиргород,Черкаси
"ПІК ""ААЗ Трейдінг Ко"", адреса: вул.Чистяківська, 30, м.Київ, АЕ 572514",Ялта,Київ
"ФОП Стамбульський О.Й., адреса: Рівненська, буд. 81, кв. 4, м.Луцьк, АВ 616385",Луцьк,Баболоки
"ТОВ ""Автомобільна  компанія ""Транспортні лінії України"", адреса: вул.Виставочна, 2-В, м.Кіровоград, 25014, АГ 586996",Київ,Кіровоград
"ТОВ ""Турист"", адреса: Гагарінське плато, буд.5, м.Одеса, AД 75984",Дніпропетровськ,Одеса
"ТОВ ""Вулкан"", адреса: вул. Локтюхова, 3, м.Дніпродзержинськ, Дніпропетровська область, АГ 584690  ",Дніпропетровськ,Маріуполь
"ТОВ ""Круїз-авто"", адреса: вул.Вокзальна,1 Б, м.Умань, Черкаська область, 20300, АГ 593931",Христинівка,Київ
"ПАТ ""Чорноморська транспортна компанія"", адреса:вул.Новощепний ряд, 5, м.Одеса, 65007, АГ588936",Одеса,Миколаїв
"ФОП Бізюк В.П., адреса: вул.Механізаторів,9,кв.1, м.Рівне, АВ 530996",Рівне,Нетішин
"ФОП Стамбульський О.Й., адреса: Рівненська, буд. 81, кв. 4, м.Луцьк, АВ 616385",Луцьк,Баболоки
"ТОВ ""Борщівське АТП 16138"", адреса: вул.Я.Кондри, 6, м.Борщів, Тернопільська область, АГ 585683",Борщів,Чернівці
"ТОВ ""Авто-Експрес"", адреса: вул. Шевцової, 26, м.Волноваха, Донецька область, 85700, АЕ 572534",Харків,Маріуполь
"ПАТ ""АТАСС-Бориспіль"", адреса: вул.Заводська, 1, с.Старе, Бориспільский район, Київська область, АД 033466",Київ,Чернівці
"ПАТ ""Чорноморська транспортна компанія"", адреса:вул.Новощепний ряд, 5, м.Одеса, 65007, АГ588936",Одеса,Миколаїв
"ТОВ ""Авто-Експрес"", адреса: вул. Шевцової, 26, м.Волноваха, Донецька область, 85700, АЕ 572534",Одеса,Миколаїв
"ТОВ ""Іксора"" адреса: Бериславське шосе, 11, м.Херсон, 73008, АВ 550452",Херсон,Кривий Ріг
"ТОВ ""Автолюкс-Черкаси-Плюс"", адреса: вул.Хоменка, кв. 9, м.Черкаси, 18036, АЕ 266758",Сміла,Київ
"ПП ""ПиК"", адреса: вул.Колодязна, 18, кв.52, м.Миколаїв, АЕ 573194",Одеса,Миколаїв
"ПП ""ВЛАДІС"", адреса: вул.Щорса буд.29 кв.6, м.Чернігів, АВ 561396",Чернігів,Київ
"ФОП Мамедов Д.Г. , адреса: вул. Чайковського, буд. 10 В, м.Селидове, Донецька область, 58400, АЕ 572212",Донецьк,Запоріжжя
"ТОВ ""Бердичівське АТП 11837"", адреса: вул.Чапаєва, 4, м.Бердичів, Житомирська область, 13312, АГ 592009",Бродецьке,Бердичів
"ТОВ  ""Іксора"" адреса: Бериславське шосе, 11, м.Херсон, 73008, АВ 550452",Залізний Порт,Луцьк
"ТОВ ""Автолюкс-Черкаси-Плюс"", адреса: вул.Хоменка, кв. 9, м.Черкаси, 18036, АЕ 266758",Сміла,Київ
"ТОВ ""Гюнсел"", адреса: вул. Федора Ернста, 3б, м.Київ, 03048, АГ 593998",Київ,Херсон
"ТОВ ""Альянс-Сервіс"", адреса: вул. Айвазовського, буд. 18, корпус А, м.Миколаїв, АГ 584968",Миколаїв,Одеса
"ПАТ ""Північтранс"", адреса: 21 км Старокиївської дороги, м.Одеса, АГ 587970",Одеса,Южноукраїнськ
"ТОВ ""Катран-Пас"", адреса: вул. Богдана Ліщини, буд. 45, м.Сєвєродонецьк, Луганська область, АЕ 187092",Жовнине,Кременчук
"ПП ""Люкс-Авто-Транс"", адреса: вул. Попудренка, буд. 52, офіс 516, м.Київ, АД 077136",Київ,Черкаси
"ТОВ ""Круїз-авто"", адреса: вул.Вокзальна,1 Б, м.Умань, Черкаська область, 20300, АГ 593931",Умань,Удич
"ТОВ ""Август V"", адреса: вул.Кірова, 41, смт.Овідіополь, Овідіопольський район, Одеська область, АВ 532461",Южноукраїнськ,Одеса
"ФОП Чернявський В.О., адреса: вул. Онупрієнка, буд. 7, кв. 66, м.Шостка, Сумська область, АЕ 572447",Шостка,Короп
"ФОП Литвин В.О. адреса: вул. Р.Люксенбург, 15/62, кв.30, м.Полтава, 36000, АГ 587905",Полтава,Київ
"ТОВ  ""Іксора"" адреса: Бериславське шосе, 11, м.Херсон, 73008, АВ 550452",Херсон,Кривий Ріг
"ТОВ ""Круїз-авто"", адреса: вул.Вокзальна,1 Б, м.Умань, Черкаська область, 20300, АГ 593931",Умань,Удич
"ТОВ ""Крим-Авто-Експрес"", адреса:вул.Московська, 8, офіс 3, м.Ялта, АР Крим, АД 038495 ",Одеса,Ялта
"ФОП Іськов С.В., адреса: вул. Келецька, 92, кв.72, м.Вінниця, АД 062467",Вінниця,"Стрілкове б/в ""Астрава"" ч/з Генічеськ"
"ФОП Чернявський В.О., адреса: вул. Онупрієнка, буд. 7, кв. 66, м.Шостка, Сумська область, АЕ 572447",Шостка,Короп
"ТОВ ""Авто-ОВІ"", адреса: проспект Московський, буд. 248, корп. Г, кв. 42, м.Харків, АЕ 421550",Кременчук,Харків
"ФОП Безкоровайний С.Р., адреса: вул.Дарвіна, 21, м.Рівне, АЕ 266979",Рівне,Київ
"ПП ""УРСА-Транс"", адреса: вул. Велика Перспективна, буд. 25/34, кв.39, м.Кіровоград, АЕ 573010",Кіровоград,Кривий Ріг
"ТОВ ""Авто-ОВІ"", адреса: проспект Московський, буд. 248, корп. Г, кв. 42, м.Харків, АЕ 421550",Кременчук,Харків
"ПАТ ""Черкаське АТП 17127"", адреса: вул.Луценка, 12, м.Черкаси, АД 033221",Канів,Київ
"ФОП Попович В.І. , адреса: вул. Князів Коріатовичів, 4/40, м.Кам'янець-Подільський, Хмельницьк, АД 076943",Любомирівка,Вінниця
"ПП ""Корсар"", адреса: вул. Гагаріна, 132, м.Скадовськ, Херсонська область, АЕ 572416",Херсон,Хмільник
"ТОВ ""Авто-ОВІ"", адреса: проспект Московський, буд. 248, корп. Г, кв. 42, м.Харків, АЕ 421550",Кременчук,Харків
"ТОВ ""ЛАТК-0777"", адреса: просп. Повітрофлотський, буд. 72, м.Київ, АЕ 573027",Шпола,Київ
"ПП Коренчук М.П., адреса: вул.Декабристів, 2А/4, м.Рівне, АВ 616871",Рівне,Почаїв
"ТОВ ""Компанія ""ЮГТРАНС"", адреса: вул.Леніна, 35 (а/с93), м.Нова Каховка, Каховський район, Херсонська область, 74900, АВ 537464",Чернігів,Нова Каховка
"ТОВ ""Авто-ОВІ"", адреса: проспект Московський, буд. 248, корп. Г, кв. 42, м.Харків, АЕ 421550",Харків,Кременчук
"ФОП Нетребенко В.В., адреса: вул.Крута, буд.2, смт.Єрки, Катеринопільський район, Черкаська область, АГ 592205",Катеринопіль,Київ
"ФОП Бартосевич Г.І., адреса: мікрор-н Будівельників, буд. 7, корп.А, кв.21, м.Кузнецовськ, Рівненська область, АЕ 267996",Кузнецовськ,Луцьк
"ПП Коренчук М.П., адреса: вул.Декабристів, 2А/4, м.Рівне, АВ 616871",Рівне,Почаїв
"ТОВ ""Авто-ОВІ"", адреса: проспект Московський, буд. 248, корп. Г, кв. 42, м.Харків, АЕ 421550",Харків,Кременчук
"ТОВ  ""Іксора"" адреса: Бериславське шосе, 11, м.Херсон, 73008, АВ 550452",Херсон,Миколаїв
"ФОП Стужна В.В., адреса: вул. Щорса, 33, с.Новий биків, Бобровицький район, Чернігівська область, АГ 503108",Київ,Черкаси
"ФОП Безкоровайний С.Р., адреса: вул.Дарвіна, 21, м.Рівне, АЕ 266979",Рівне,Київ
"БПП ""Фаворит-Люкс"", адреса: вул.Гоголівська, буд.4, м.Житомир, АГ 584510",Житомир,Київ
"ТОВ ""Круїз-авто"", адреса: вул.Вокзальна,1 Б, м.Умань, Черкаська область, 20300, АГ 593931",Умань,Удич
"ФОП Яцишин М.М. адреса: пр-т Молоді, 8-А, кв.708, м.Луцьк, 43024, АД 062842",Рівне,Луцьк
"ТОВ ""Авто-ОВІ"", адреса: проспект Московський, буд. 248, корп. Г, кв. 42, м.Харків, АЕ 421550",Харків,Кременчук
"ТОВ  ""Іксора"" адреса: Бериславське шосе, 11, м.Херсон, 73008, АВ 550452",Херсон,Миколаїв
"ТОВ ""Сервіс-Авто-2005"", адреса: вул.Героїв Дніпра, 65, кв.61, м.Черкаси, АЕ 187027",Київ,Черкаси
"ТОВ ""Володимирецьтранссервіс"", адреса: вул.Соборна, 2- Г, смт.Володимирець, Володимирецький район, Рівненська область, АД 062162 ",Володимирець,Київ
"ТОВ ""Іксора"" адреса: Бериславське шосе, 11, м.Херсон, 73008, АВ 550452",Херсон,Одеса
"ФОП Петрик В.Г., адреса: вул.Грушевського, 27, м.Іллінці, Вінницька область, АВ 352894",Іллінці,Київ
"ФОП Бізюк В.П., адреса: вул.Механізаторів,9,кв.1, м.Рівне, АВ 530996",Рівне,Нетішин
"ПП ""АТП Ульяновське"", адреса: вул.Гагаріна, 49, м.Ульяновка, Кіровоградська область, АГ 590589",Кіровоград,Гайворон
"ФОП Котельчук С.М., адреса: вул.Васильєва, 9, м.Ківерці, Волинська область, АГ 591929",Луцьк,Хмельницький
"ФОП Грицаюк А.В., адреса: вул.Смірнова, 7/39, м.Умань, Черкаська область, AГ 591121",Умань,Теплик
"ПП ""Авто-Експрес"", адреса: вул.Дзержинського, 44, м.Сніжне, Донецька область, 86500, АВ 523124",Сніжне,Луганськ
"ФОП Безкоровайний С.Р., адреса: вул.Дарвіна, 21, м.Рівне, АЕ 266979",Рівне,Київ
"ФОП Чайківський Б.Ю., адреса: пр-т Злуки, 37, кв.4, м.Тернопіль, АД 062256",Тернопіль,Львів
"ТОВ ""Іксора"" адреса: Бериславське шосе, 11, м.Херсон, 73008, АВ 550452",Херсон,Одеса
"ФОП Прибиш П.Я., адреса:вул.Миру, 10, с.Острожець, Млинівський район, Рівненська область, 35100, АГ 584583",Млинів,Луцьк
"ФОП Драль О.І., адреса: вул.Котляревского, 2/6, кв.14, м.Суми, АВ 550071",Суми,Полтава
"ПрАТ ""Маріуполь-Авто"", адреса: вул.Макара Мазая, буд.6, м.Маріуполь, Донецька область, АГ 588928",Маріуполь,Київ
"ТДВ ""Автотраспортне підприємство 16145"", адреса:вул.Миру, 1, м.Шумське, Тернопільська область,АГ587419",Шумськ,Хмельницький
"ТОВ ""АТП ""Кортеж"", адреса: вул. Верстатобудівників, буд. 1-А, кв. 18, м.Павлоград, Дніпропетровська область, АЕ 422242",Тернівка,Донецьк
"ФОП Сушко В.В., адреса: вул. Леніна, 36-А, кв.53, м.Шпола, Черкаська область, АД 065277",Шпола,Київ
"ФОП Грицаюк А.В., адреса: вул.Смірнова, 7/39, м.Умань, Черкаська область, AГ 591121",Умань,Теплик
"ФОП Чайківський Б.Ю., адреса: пр-т Злуки, 37, кв.4, м.Тернопіль, АД 062256",Тернопіль,Львів
"ПП ""ВАСИЛЬКІВТРАНСАВТО"", адреса: Перший провулок Селянський, 30, м.Васильків, Васильківський рай, АГ 587931",Київ,Верховина
"ФОП Прибиш П.Я., адреса:вул.Миру, 10, с.Острожець, Млинівський район, Рівненська область, 35100, АГ 584583",Млинів,Луцьк
"ФОП Сушко В.В., адреса: вул. Леніна, 36-А, кв.53, м.Шпола, Черкаська область, АД 065277",Шпола,Київ
"МПП ""Деймос"", адреса: вул. Старицького, буд. 21 А, м.Рівне, АЕ 573022",Рівне,Київ
"ТОВ ""Круїз-авто"", адреса: вул.Вокзальна,1 Б, м.Умань, Черкаська область, 20300, АГ 593931",Умань,Одеса
"ТОВ ""Круїз-авто"", адреса: вул.Вокзальна,1 Б, м.Умань, Черкаська область, 20300, АГ 593931",Умань,Серединка
"ФОП Кулачинський Ю.А., адреса: вул.Маяковського, 1, м.Первомайськ, Миколаївська область, 55200, АВ 549141",Первомайськ,Кривий Ріг
"ТОВ ""Авто-Експрес"", адреса: вул. Шевцової, 26, м.Волноваха, Донецька область, 85700, АЕ 572534",Донецьк,Запоріжжя
"ФОП Савченко О.А., адреса: вул.Б.Носенко,34, м.Прилуки, Чернігівська область, АГ 502404",Прилуки,Полтава
"ТОВ ""Добропільське АТП"", адреса: вул. Артема, буд. 56, м.Димитров, Красноармійський район, Донецька область, АЕ 420043",Красноармійськ,Харків
"ФОП Сушко В.В., адреса: вул. Леніна, 36-А, кв.53, м.Шпола, Черкаська область, АД 065277",Шпола,Київ
"МПП ""Деймос"", адреса: вул. Старицького, буд. 21 А, м.Рівне, АЕ 573022",Рівне,Київ
"ФОП Михалюк Ю.П., адреса: вул. Молодіжна, 54, с.Маяки, Луцький район, Волинська область, АД 076930",Луцьк,Тернопіль
"ФОП Струков П.М., адреса: Соборний майдан, 10-А, кв.18, м.Полтава, АВ 562986",Полтава,Харків
"ТОВ ВКФ  ""Ігрек"", адреса: вул. Караваєва, 11, м.Дніпропетровськ, 49000, АВ 616034",Запоріжжя,Нікополь
"ТДВ ""Нововолинське АТП 10708"", адреса: вул.Шахтарська,  40, м.Нововолинськ, Волинська область, АГ 504913",Нововолинськ,Рівне
"ТОВ ""Турист"", адреса: Гагарінське плато, буд.5, м.Одеса, AД 75984",Коблеве,Одеса
"ПП ""А.Т.Н."", адреса: вул. Чистяківська, 2-А, кв.500, м.Київ, АГ 587717",Іллінці,Київ
"ФОП Рябінін О.І., адреса: Центральна,18, с.Шарівка, Валківський район, Харківська область, АЕ 572108",Кегичівка,Полтава
"ФОП Стужний Р.І., адреса: вул.Лісківська, буд. 14, кв.18, м.Київ, АВ 549516",Київ,Черкаси
"ТОВ ""Авто-Експрес"", адреса: вул. Шевцової, 26, м.Волноваха, Донецька область, 85700, АЕ 572534",Донецьк,Бердянськ
"ТзОВ ""АрТранс"", адреса: вул. Богдана Хмельницького, буд. 25-Б, м.Долина, Івано-Франківсь, АВ 523637",Вигода,Стрий
"ТОВ ВКФ  ""Ігрек"", адреса: вул. Караваєва, 11, м.Дніпропетровськ, 49000, АВ 616034",Запоріжжя,Нікополь
"ТОВ ""Турист"", адреса: Гагарінське плато, буд.5, м.Одеса, AД 75984",Коблеве,Одеса
"ТОВ ""Круїз-авто"", адреса: вул.Вокзальна,1 Б, м.Умань, Черкаська область, 20300, АГ 593931",Умань,Серединка
"МПП ""Деймос"", адреса: вул. Старицького, буд. 21 А, м.Рівне, АЕ 573022",Рівне,Київ
"ТОВ ""Автомобільна  компанія ""Транспортні лінії України"", адреса: вул.Виставочна, 2-В, м.Кіровоград, 25014, АГ 586996",Кіровоград,Градизьк
"ФОП Фінюк В.Є., адреса: вул.Східна, 38, м.Луцьк, АА 784765",Луцьк,Привітне
"ТОВ ""Міжнародний Автобусний Парк - 888"", адреса: ",Миколаїв,Сніжне
"ФОП Чижовський І.В., адреса: вул.Заболотного, буд.58, кв.44, м.Київ, АГ 504883",Київ,Черкаси
"ТОВ ""Авто-Експрес"", адреса: вул. Шевцової, 26, м.Волноваха, Донецька область, 85700, АЕ 572534",Донецьк,Сєвєродонецьк
"ТОВ ВКФ  ""Ігрек"", адреса: вул. Караваєва, 11, м.Дніпропетровськ, 49000, АВ 616034",Запоріжжя,Нікополь
"ТОВ ""АТП 11231"", адреса: вул. Винокурова, буд.11, м.Дніпропетровськ, 49051, АЕ 421996",Дніпропетровськ,Євпаторія
"МПП ""Деймос"", адреса: вул. Старицького, буд. 21 А, м.Рівне, АЕ 573022",Рівне,Київ
"ТОВ ""Пассавто-ЛТД"", адреса: пр-т Перемоги, 95-А, м.Чернігів, АГ 590462",Чернгів,Суми
"ТОВ ""ПРЕСТИЖ - АВТО"", адреса: вул. Січових Стрільців, 2-А, м.Сокаль, Львівська область, АД 0640675",Сокаль,Тернопіль
"ФОП Фінюк В.Є., адреса: вул.Східна, 38, м.Луцьк, АА 784765",Луцьк,Привітне
"ПП ""Рім-Богдан"", адреса: вул. Східна, 88/2, м.Житомир, АЕ 572588",Рокитне,Житомир
"ФОП Базілєвський В.О., адреса: проспект Космонавтів, буд. 8-А, кв. 28, м.Сєвєродонецьк, Луганська область",Рубіжне,Дніпродзержинськ
"ТзОВ ""АрТранс"", адреса: вул. Богдана Хмельницького, буд. 25-Б, м.Долина, Івано-Франківсь, АВ 523637",Вигода,Стрий
"ТОВ ВКФ  ""Ігрек"", адреса: вул. Караваєва, 11, м.Дніпропетровськ, 49000, АВ 616034",Запоріжжя,Нікополь
"ПП ""Євротранс Юг"", адреса: вул. Новогрушівська, 9, с.Грушівка, Первомайський район, Миколаївська область, АВ 508607",Первомайськ,Одеса
"ТОВ ""Іксора"" адреса: Бериславське шосе, 11, м.Херсон, 73008, АВ 550452",Херсон,Одеса
"ТОВ ""Круїз-авто"", адреса: вул.Вокзальна,1 Б, м.Умань, Черкаська область, 20300, АГ 593931",Умань,Серединка
"МПП ""Деймос"", адреса: вул. Старицького, буд. 21 А, м.Рівне, АЕ 573022",Рівне,Київ
"ТОВ ""Бердичівське АТП 11837"", адреса: вул.Чапаєва, 4, м.Бердичів, Житомирська область, 13312, АГ 592009",Бродецьке,Бердичів
"ФОП Фінюк В.Є., адреса: вул.Східна, 38, м.Луцьк, АА 784765",Луцьк,Привітне
"ТОВ ВКФ  ""Ігрек"", адреса: вул. Караваєва, 11, м.Дніпропетровськ, 49000, АВ 616034",Запоріжжя,Нікополь
"ПП ""Посполіта Сервіс"", адреса: вул. Колонтаївська, 67, м.Одеса, АЕ 593995",Полтава,Київ
"ПП ""Рім-Богдан"", адреса: вул. Східна, 88/2, м.Житомир, АЕ 572588",Рокитне,Житомир
"ТОВ ""Турист"", адреса: Гагарінське плато, буд.5, м.Одеса, AД 75984",Коблеве,Одеса
"ФОП Яцишин М.М. адреса: пр-т Молоді, 8-А, кв.708, м.Луцьк, 43024, АД 062842",Луцьк,Львів
"ТОВ ""Гюнсел"", адреса: вул. Федора Ернста, 3б, м.Київ, 03048, АГ 593998",Харків,Київ
"ТОВ ""Авто-Експрес"", адреса: вул. Шевцової, 26, м.Волноваха, Донецька область, 85700, АЕ 572534",Донецьк,Дніпропетровськ
"ТОВ ""Катран-Пас"", адреса: вул. Богдана Ліщини, буд. 45, м.Сєвєродонецьк, Луганська область, АЕ 187092",Жовнине,Кременчук
"ПП Мар'ян І.А., адреса: вул. Дзержинського, 23, с. Ярошівка, Черкаська область, АГ 502390",Катеринопіль,Київ
"ТОВ ВКФ  ""Ігрек"", адреса: вул. Караваєва, 11, м.Дніпропетровськ, 49000, АВ 616034",Запоріжжя,Нікополь
"ТОВ ""Турист"", адреса: Гагарінське плато, буд.5, м.Одеса, AД 75984",Коблеве,Одеса
"МПП ""Деймос"", адреса: вул. Старицького, буд. 21 А, м.Рівне, АЕ 573022",Рівне,Київ
"ПП ""ЛЮГ"", адреса: пров. Рибальський, буд.10-А, м.Полтава, 36020, АЕ 265082",Полтава,Суми
"ТДВ ""Оріон-Авто"", адреса: вул. Казарського, 4, м.Миколаїв, 54007, АВ 562984",Миколаїв,Сніжне
"ФОП Баран В.В., адреса: вул.Романа Купчинського, 3, кв.4, м.Івано-Франківськ, АВ 525793",Верховина,Чернівці
"ФОП Цибулько В.В., адреса: проспект Космонавтів, буд. 20, кв. 77, м.Вінниця, АВ 616945",Кодима,Вінниця
"ФОП Мохнюк Т.С., адреса: вул. 17- Вересня, буд.83, с.Маяки, Луцький район, Волинська область, АГ 585520",Луцьк,Моршин
"ФОП Когут В. В., адреса: пр-т Ватутіна, 30-А, кв.22, м.Ватутіне, Звенигородський район, Черкаська область, АВ 543549",Катеринопіль,Київ
"ТОВ ВКФ  ""Ігрек"", адреса: вул. Караваєва, 11, м.Дніпропетровськ, 49000, АВ 616034",Запоріжжя,Нікополь
"ПрАТ ""Володимир-Волинське АТП 10707"", адреса: вул.Ковельська, 181, м.Володимир-Волинський, Волинська область, АГ 588970",Лісова Пісня,Львів
"ПрАТ ""Тульчинське АТП-10507"", адреса: вул.Польова,1, с.Нестерварка, Тульчинський район, Вінницька область,  АГ 504834",Ладижин,Київ
"ТОВ ""Іксора"" адреса: Бериславське шосе, 11, м.Херсон, 73008, АВ 550452",Херсон,Одеса
"ФОП Бізюк В.П., адреса: вул.Механізаторів,9,кв.1, м.Рівне, АВ 530996",Рівне,Нетішин
"ТОВ ""Авто-ОВІ"", адреса: проспект Московський, буд. 248, корп. Г, кв. 42, м.Харків, АЕ 421550",Харків,Миколаїв
"ТОВ ВКФ  ""Ігрек"", адреса: вул. Караваєва, 11, м.Дніпропетровськ, 49000, АВ 616034",Запоріжжя,Нікополь
"ФОП Гей О.О., адреса: пр-т Незалежності, 3, кв. 181, м.Нетішин, Хмельницька область, 30100, АГ 504950",Нетішин,Рівне
"ТОВ ""Місс -Тур"", адреса: площа Комунарів, Південний автовокзал, м.Донецьк, АГ 502928",Донецьк,Одеса
"ПАТ ""Тальнівське АТП 17137"", адреса: вул. Соборна, 115, м.Тальне, Черкаська область, АД 077196 ",Тальне,Київ
"Споживче товариство ""Корал"", адреса: вул.Академіка Туполева, 17, м.Київ, АГ 592310",Київ,Брусилів
"ФОП Олексюк В. І., адреса: вул. Волинська, буд.68, м.Нововолинськ, Волинська область, АГ 504775",Нововолинськ,Тернопіль
"ТОВ ""Автотранссервіс"", адреса: Лоцманський узвіз, 8, м.Дніпропетровськ, 49005, АГ 588977",Луганськ,Дніпропетровськ
"ТОВ ""Бердичівське АТП 11837"", адреса: вул.Чапаєва, 4, м.Бердичів, Житомирська область, 13312, АГ 592009",Козятин,Бердичів
"ФОП Томчук Т.М., адреса: вул.Драгоманова, буд.14, м.Косів, Івано-Франківська область, АВ 524130 ",Косів,Чернівці
"ТОВ ВКФ  ""Ігрек"", адреса: вул. Караваєва, 11, м.Дніпропетровськ, 49000, АВ 616034",Запоріжжя,Нікополь
"ПП ""Авто-Експерт"", адреса: вул. Калнишевського, буд. 34, м.Хмельницький, АЕ 268959",Хмельницький,Тернопіль
"ТОВ ""Авто-Експрес"", адреса: вул. Шевцової, 26, м.Волноваха, Донецька область, 85700, АЕ 572534",Красноармійськ,Бердянськ
"Споживче товариство ""Корал"", адреса: вул.Академіка Туполева, 17, м.Київ, АГ 592310",Київ,Брусилів
"ТОВ ""Автомобільна  компанія ""Транспортні лінії України"", адреса: вул.Виставочна, 2-В, м.Кіровоград, 25014, АГ 586996",Київ,Кіровоград
"ТОВ ""Бердичівське АТП 11837"", адреса: вул.Чапаєва, 4, м.Бердичів, Житомирська область, 13312, АГ 592009",Козятин,Бердичів
"ТОВ ""Круїз-авто"", адреса: вул.Вокзальна,1 Б, м.Умань, Черкаська область, 20300, АГ 593931",Умань,Вінниця
"ФОП Яцишин М.М. адреса: пр-т Молоді, 8-А, кв.708, м.Луцьк, 43024, АД 062842",Рівне,Луцьк
"ТОВ ""Сервіс-Авто-2005"", адреса: вул.Героїв Дніпра, 65, кв.61, м.Черкаси, АЕ 187027",Черкаси,Київ
"ТОВ ВКФ  ""Ігрек"", адреса: вул. Караваєва, 11, м.Дніпропетровськ, 49000, АВ 616034",Запоріжжя,Нікополь
"ПП ""Авто-Експерт"", адреса: вул. Калнишевського, буд. 34, м.Хмельницький, АЕ 268959",Хмельницький,Тернопіль
"ПрАТ ""Тульчинське АТП-10507"", адреса: вул.Польова,1, с.Нестерварка, Тульчинський район, Вінницька область,  АГ 504834",Ладижин,Київ
"ТОВ ""Альянс-Сервіс"", адреса: вул. Айвазовського, буд. 18, корпус А, м.Миколаїв, АГ 584968",Миколаїв,Залізний Порт
"ФОП Яцишин М.М. адреса: пр-т Молоді, 8-А, кв.708, м.Луцьк, 43024, АД 062842",Рівне,Луцьк
"ПКП ""Денисівка - плюс"", адреса: вул. Рівненська, 5а, оф.202, м.Чернівці, 58013, АВ 532614",Харків,Чернівці
