route_operator,first,second
"ТОВ ""УШ АТП 10943"", адреса:вул.Михайла Донця, буд.17/46, м.Київ, 01326, АЕ 421372 ",Луганськ,Сєдове
"ТОВ ВКФ  ""Ігрек"", адреса: вул. Караваєва, 11, м.Дніпропетровськ, 49000, АВ 616034",Дніпропетровськ,Запоріжжя
"ТДВ ""Автопромінь"", адреса: вул. Філософська, буд. 39, м.Дніпропетровськ, 49000, АД 076964",Дніпропетровськ,Нехвороща
"ТОВ ""АВА-Експрес"", адреса: вул.Чураївни, 5, кв. 157, м.Полтава, 36037, АЕ 266377",Полтава,Дніпропетровськ
"ТОВ ""Автомобільна  компанія ""Транспортні лінії України"", адреса: вул.Виставочна, 2-В, м.Кіровоград, 25014, АГ 586996",Чечельник,Київ
"ФОП Чумаков В.О., адреса: вул. Весела, 180, м.Сватове, Луганська область, 92600, АГ 592485,",Сватове,Харків
"ТОВ ВКФ  ""Ігрек"", адреса: вул. Караваєва, 11, м.Дніпропетровськ, 49000, АВ 616034",Дніпропетровськ,Запоріжжя
"ТДВ ""Оріон-Авто"", адреса: вул. Казарського, 4, м.Миколаїв, 54007, АВ 562984",Миколаїв,Київ ч/з Первомайськ
"ТОВ ""Круїз-авто"", адреса: вул.Вокзальна,1 Б, м.Умань, Черкаська область, 20300, АГ 593931",Умань,Вінниця
"ТОВ ""ГОРТРАНС"", адреса: просп. Правди, буд.1, м.Харків, АД 077041",Харків,Суми
"ТЗОВ ""Львівське АТП-14631"", адреса: вул.Пластова, 10, м.Львів, 79056, АВ550341",Львів,Кременець
"ТОВ ""Гюнсел"", адреса: вул. Федора Ернста, 3б, м.Київ, 03048, АГ 593998",Дніпропетровськ,Київ
"ФОП Гей О.О., адреса: пр-т Незалежності, 3, кв. 181, м.Нетішин, Хмельницька область, 30100, АГ 504950",Нетішин,Рівне
"ТОВ ВКФ  ""Ігрек"", адреса: вул. Караваєва, 11, м.Дніпропетровськ, 49000, АВ 616034",Дніпропетровськ,Запоріжжя
"ПП ""КУЛИДА"", адреса: вул.Кірова, буд.51-А, м.Скадовськ, Херсонська область, 75700, АВ 550274",Миколаїв,Скадовськ
"ФОП Котельчук С.М., адреса: вул.Васильєва, 9, м.Ківерці, Волинська область, АГ 591929",Луцьк,Почаїв
"ПАТ ""Чорноморська транспортна компанія"", адреса:вул.Новощепний ряд, 5, м.Одеса, 65007, АГ588936",Одеса ," Коблеве (б/в ""Зоря"")"
"Косівське акціонерне товариство ""Скіф-Авто"", адреса: вул.Грушевського, 5, м.Косів, Івано-Франківська область, 78600, АГ 587957",Верховина,Чернівці
"ФОП Гей О.О., адреса: пр-т Незалежності, 3, кв. 181, м.Нетішин, Хмельницька область, 30100, АГ 504950",Нетішин,Рівне
"ТОВ ВКФ  ""Ігрек"", адреса: вул. Караваєва, 11, м.Дніпропетровськ, 49000, АВ 616034",Дніпропетровськ,Запоріжжя
"ТОВ ""Миколаїв-Авто"", адреса:вул.Казарського, 4, м.Миколаїв, 54007, АВ 544368",Миколаїв,Скадовськ
"ПП ""АТП Дружба"", адреса:вул. Коновальця, буд.101, м.Болехів, Івано-Франківська область, 77202, АВ 562003",Болехів,Моршин
"ТОВ ВКФ  ""Ігрек"", адреса: вул. Караваєва, 11, м.Дніпропетровськ, 49000, АВ 616034",Дніпропетровськ,Запоріжжя
"ТОВ ""Круїз-авто"", адреса: вул.Вокзальна,1 Б, м.Умань, Черкаська область, 20300, АГ 593931",Київ,Умань
"ТОВ ""Автосвіт ЛТД"", адреса:вул.Жовтнева, 50, м.Коростень, Житомирська область, 11500, АД 062473",Київ,Коростень
"ФОП Пнівчук В.Р., адреса: вул.Кропивницького, 24, с.Марківка, Коломийський район, Івано-Франківська область, АЕ 572044",Коломия,Чернівці
"ПП ""АТП Дружба"", адреса:вул. Коновальця, буд.101, м.Болехів, Івано-Франківська область, 77202, АВ 562003",Болехів,Моршин
"ТОВ ВКФ  ""Ігрек"", адреса: вул. Караваєва, 11, м.Дніпропетровськ, 49000, АВ 616034",Дніпропетровськ,Запоріжжя
"ПП ""Євротранс Юг"", адреса: вул. Новогрушівська, 9, с.Грушівка, Первомайський район, Миколаївська область, АВ 508607",Первомайськ,Одеса
"ТЗОВ ""Львівське АТП-14631"", адреса: вул.Пластова, 10, м.Львів, 79056, АВ550341",Долиняни,Львів
"ФОП Загайкевич В.Б., адреса:вул. Зелена, буд. 22, с.Литяче, Заліщицький район, Тернопільська область, 48678, АВ 510413",Свершківці,Чернівці
"ТОВ ""Бердичівське АТП 11837"", адреса: вул.Чапаєва, 4, м.Бердичів, Житомирська область, 13312, АГ 592009",Бердичів,Юрівка
"ТОВ ""Комерційна компанія ""Альфа-Тур"", адреса: Оборонна, 101-к, м.Луганськ, 91047, АД 033948",Луганськ,Херсон
