arrival,bus_age,bus_comfort_level,company_id,coords,count,departure,drives_per_day,id,license_data,marchRoute,number_of_buses,regulative_institution,route_regularity
М.КОРОВИНЦІ ч/з Чуднів,"2008, 2011   роки","М2, М3, В, ІІ, ІІІ",9026960343589383168,"[[50.26487, 28.67669], [50.05569300000001, 28.1177]]",1,Житомир,,5905,з 29.10.2015р. по 28.10.2020р.,Житомир - М.КОРОВИНЦІ ч/з Чуднів,2,Житомирська область,щоденно
КОПИЩЕ ч/з Коростень,2008 роки ,"М3, ІІІ",76000641172855984,"[[50.26487, 28.67669], [51.5855621, 27.8506589]]",1,Житомир,,5910,з 17.01.2015р. по 16.01.2020,Житомир - КОПИЩЕ ч/з Коростень,2,Житомирська область,щоденно
В.ГЛУМЧА                                                      ч/з Хорошів,"2008,   2010 роки ","М3, ІІІ",76000641172855984,"[[50.26487, 28.67669], [50.9398789, 27.5550153]]",1,Житомир,,5912,з 23.12.2015р. по 22.12.2020,Житомир - В.ГЛУМЧА                                                      ч/з Хорошів,2,Житомирська область,щоденно
ОЛЕВСЬК до с. Покровське,"2005,   2008 роки ","М3, ІІІ",76000641172855984,"[[50.26487, 28.67669], [51.225284, 27.647694]]",1,Житомир,,5914,з 23.12.2015р. по 22.12.2020,Житомир - ОЛЕВСЬК до с. Покровське,2,Житомирська область,щоденно
ЄМІЛЬЧИНЕ                                                                                ч/з Хорошів,2008  роки ,"М2, М3, В, ІІ, ІІІ",76000641172855984,"[[50.26487, 28.67669], [50.8744739, 27.8042939]]",1,Житомир,,5915,з 23.12.2015р. по 22.12.2020,Житомир - ЄМІЛЬЧИНЕ                                                                                ч/з Хорошів,2,Житомирська область,щоденно
ЄМІЛЬЧИНЕ  до с.Серби,2008 роки ,"М2, М3, В, ІІ, ІІІ",76000641172855984,"[[50.26487, 28.67669], [50.7786936, 27.7060934]]",1,Житомир,,5916,з 23.12.2015р. по 22.12.2020,Житомир - ЄМІЛЬЧИНЕ  до с.Серби,2,Житомирська область,щоденно
ХОРОШІВ                                           ч/з Пулини,2006  роки ,"М2, М3, В, ІІ, ІІІ",76000641172855984,"[[50.26487, 28.67669], [50.5933345, 28.4472707]]",1,Житомир,,5917,з 29.11.2016р. по 28.11.2021р.,Житомир - ХОРОШІВ                                           ч/з Пулини,2,Житомирська область,щоденно
РУБЕЖІВКА ч/з Малин,2008  роки ,"М2, М3, В, ІІ, ІІІ",76000641172855984,"[[50.26487, 28.67669], [51.01891089999999, 29.4567156]]",1,Житомир,,5918,з 08.12.2016р. по 07.12.2021,Житомир - РУБЕЖІВКА ч/з Малин,3,Житомирська область,щоденно
СВИДЯ,2010  роки ,"М2, М3, В, ІІ, ІІІ",76000641172855984,"[[50.26487, 28.67669], [50.53179, 28.85376]]",1,Житомир,,5919,з 08.12.2016р. по 07.12.2021,Житомир - СВИДЯ,2,Житомирська область,щоденно
ОЛЕВСЬК ч/з Коростень,"2004,  2008 роки ","М3, ІІІ",76000641172855984,"[[50.26487, 28.67669], [51.220756, 27.6442211]]",2,Житомир,,5922,з 8.12.2013р. по 07.12.2018р.,Житомир - ОЛЕВСЬК ч/з Коростень,2,Житомирська область,щоденно
КАТЕРИНІВКА                                           ч/з Хорошів,"2010,   2012 роки ","М2, М3, В, ІІ, ІІІ",76000641172855984,"[[50.26487, 28.67669], [50.70477400000001, 28.4417302]]",1,Житомир,,5926,з 25.10.2014р. по 24.10.2019р.,Житомир - КАТЕРИНІВКА                                           ч/з Хорошів,2,Житомирська область,щоденно
ГРУШКИ ч/з Хорошів,"1996,   2012 роки ","М2, М3, В, ІІ, ІІІ",76000641172855984,"[[50.26487, 28.67669], [50.4927545, 28.4550159]]",1,Житомир,,5928,з 25.10.2014р. по 24.10.2019р.,Житомир - ГРУШКИ ч/з Хорошів,2,Житомирська область,щоденно
КРОПИВНЯ                                                  ч/з Хорошів,"1995,   2012 роки ","М2, М3, В, ІІ, ІІІ",76000641172855984,"[[50.26487, 28.67669], [50.7231068, 28.5002204]]",1,Житомир,,5929,з 25.10.2014р. по 24.10.2019р.,Житомир - КРОПИВНЯ                                                  ч/з Хорошів,2,Житомирська область,щоденно
В.КОРОВИНЦІ,"2001, 2004,   2010 роки ","М2, М3, В, ІІ, ІІІ",76000641172855984,"[[50.26487, 28.67669], [49.9761312, 28.2924061]]",1,Житомир,,5931,з 28.10.2015р. по 27.10.2020р.,Житомир - В.КОРОВИНЦІ,2,Житомирська область,щоденно
Житомир,"1987,    2010 роки ","М2, М3, В, ІІ, ІІІ",76000641172855984,"[[50.59484, 28.44489], [50.26487, 28.67669]]",1,ХОРОШІВ,,5932,з 23.12.2015р. по 22.12.2020р.,ХОРОШІВ - Житомир,2,Житомирська область,щоденно
КОРОСТЕНЬ  ч/з Іршанськ,"1995,    2004,   2006 роки ","М2, М3, В, ІІ, ІІІ",76000641172855984,"[[50.59484, 28.44489], [50.9532135, 28.6457544]]",1,ХОРОШІВ,,5933,з 17.01.2016р. по 16.01.2021р.,ХОРОШІВ - КОРОСТЕНЬ  ч/з Іршанськ,2,Житомирська область,щоденно
ЛЮБАР,"2010,   2012 роки ","М2, М3, В, ІІ, ІІІ",76000641172855984,"[[50.26487, 28.67669], [49.91941730000001, 27.7666835]]",1,Житомир,,5934,з 29.11.2016р. по 28.11.2021р.,Житомир - ЛЮБАР,2,Житомирська область,щоденно
ХОДОРІВКА ч/з Пулини,2006 роки ,"М2, М3, В, ІІ, ІІІ",76000641172855984,"[[50.26487, 28.67669], [50.4552725, 27.9629805]]",1,Житомир,,5935,з 29.11.2016р. по 28.11.2021р.,Житомир - ХОДОРІВКА ч/з Пулини,2,Житомирська область,щоденно
ВИСОКА ПІЧ," 2013, 2017 роки","М2, М3, А, В,І,ІІ, ІІІ",1326161908489742336,"[[50.26487, 28.67669], [50.19443649999999, 28.2688576]]",1,Житомир,,5936,з 01.08.2017р. по 31.07.2022р.,Житомир - ВИСОКА ПІЧ,5,Житомирська область,щоденно
ДАВИДІВСЬКИЙ МАСИВ,"2007,   2008,   2013,   2014 роки","М2, М3, А, В,І,ІІ, ІІІ",1326161908489742336,"[[50.26487, 28.67669], [50.2935136, 28.4974837]]",1,Житомир,,5937,з 18.07.2017р. По 17.07.2022р.,Житомир - ДАВИДІВСЬКИЙ МАСИВ,2,Житомирська область,щоденно
ВЕРЕСИ Ч/З СВІТИН,"2003,   2012 роки","М2, М3, А, В,І,ІІ, ІІІ",168106696138139584,"[[50.26487, 28.67669], [50.3118422, 28.7135703]]",1,Житомир,,5939,з 29.10.2015р. по 28.10.2020р.,Житомир - ВЕРЕСИ Ч/З СВІТИН,2,Житомирська область,щоденно
ВЕРЕСИ,"2007,   2012 роки","М2, М3, А, В,І,ІІ, ІІІ",168106696138139584,"[[50.26487, 28.67669], [50.3383471, 28.7585844]]",1,Житомир,,5940,з 29.10.2015р. по 28.10.2020р.,Житомир - ВЕРЕСИ,2,Житомирська область,щоденно
Житомир,"2008, роки ","М2,  ІІІ",5630906935440885760,"[[51.3531426, 29.2816293], [50.26487, 28.67669]]",1,РАДЧА,,5944,з 17.01.2015р. по 16.01.2020р.,РАДЧА - Житомир,2,Житомирська область,щоденно
Житомир,"2008, 2013 роки ","М2, М3, В, ІІ, ІІІ",5630906935440885760,"[[51.20286, 29.08228], [50.26487, 28.67669]]",1,НАРОДИЧІ,,5957,з 21.05.2015р. по 20.05.2020р.,НАРОДИЧІ - Житомир,2,Житомирська область,щоденно
ОВРУЧ ч/з Коростень,"2005, 2007, 2008    роки ","М2, М3, В, ІІ, ІІІ",5630906935440885760,"[[50.26487, 28.67669], [51.3268314, 28.8028968]]",1,Житомир,,5966,з 29.10.2015р. по 28.10.2020р.,Житомир - ОВРУЧ ч/з Коростень,3,Житомирська область,щоденно
Житомир,"2012,   2013, роки ","М2,  ІІІ",5630906935440885760,"[[51.5671, 29.07769], [50.26487, 28.67669]]",1,ВИСТУПОВИЧІ,,5969,з 29.11.2016р. по 28.11.2021р.,ВИСТУПОВИЧІ - Житомир,2,Житомирська область,щоденно
Житомир,"2008,   роки ","М2, М3, В, ІІ, ІІІ",5630906935440885760,"[[51.17262, 28.45651], [50.26487, 28.67669]]",1,ЛИПНИКИ,,5975,з 25.10.2014р. по 24.10.2019р.,ЛИПНИКИ - Житомир,2,Житомирська область,щоденно
Житомир,"2000,  2001,  2006, 2009 роки","М2, М3, А, В,І,ІІ, ІІІ",3002847154625509376,"[[49.91667, 28.51667], [50.26487, 28.67669]]",1,ПІДГОРОДНЕ,,5987,з 21.12.2014р. по 20.12.2019р.,ПІДГОРОДНЕ - Житомир,3,Житомирська область,щоденно
БАРАНІВКА ч/з Залужне,"1987,  1988, 1989, 1990, 1991, 1994, 1996, 2002 роки","М2, М3, А, В,І,ІІ, ІІІ",5880944900351844352,"[[50.37053, 28.01942], [50.2924464, 27.6688212]]",1,НАТАЛІЯ,,6010,з 29.10.2015р. по 28.10.2020р.,НАТАЛІЯ - БАРАНІВКА ч/з Залужне,2,Житомирська область,щоденно
Житомир,"1987,  1988, 1989, 1990, 1991, 1994, 1996, 2002, 2008 роки","М2, М3, В, ІІ, ІІІ",5880944900351844352,"[[50.38081, 27.83204], [50.26487, 28.67669]]",1,ТАРТАК,,6014,з 18.07.2017р. по 17.07.2020р.,ТАРТАК - Житомир,2,Житомирська область,щоденно
КЛІТЧИН,"2007, 2008, 2009, 2011, 2013, 2014 роки","М2, М3, А, В,І,ІІ, ІІІ",1367486888408629504,"[[50.2361625, 28.5643746], [50.2450673, 28.7660036]]",1,ТЕТЕРІВКА,,6021,з 13.12.2013р. по 12.12.2018р.,ТЕТЕРІВКА - КЛІТЧИН,7,Житомирська область,щоденно
ТЕТЕРІВКА,"2007, 2008, 2012, 2013, 2014 роки","М2, М3, А, В,І,ІІ, ІІІ",1367486888408629504,"[[50.2450673, 28.7660036], [50.2361625, 28.5643746]]",1,КЛІТЧИН,,6022,з 13.12.2013р. по 12.12.2018р.,КЛІТЧИН - ТЕТЕРІВКА,7,Житомирська область,щоденно
ВЕРЕСНА ч/з Баранівку,2006 роки,"М2, М3, В, ІІ, ІІІ",1367486888408629504,"[[50.26487, 28.67669], [50.3834122, 27.3075455]]",1,Житомир,,6024,з 17.01.2015р. по 16.01.2020р.,Житомир - ВЕРЕСНА ч/з Баранівку,2,Житомирська область,щоденно
РАДУЛІН ч/з Баранівку,"2003, 2010 роки","М2, М3, В, ІІ, ІІІ",1367486888408629504,"[[50.26487, 28.67669], [50.4032188, 27.4654311]]",1,Житомир,,6025,з 17.01.2015р. по 16.01.2020р.,Житомир - РАДУЛІН ч/з Баранівку,2,Житомирська область,щоденно
ПОКОСТІВКА,"1998, 2007,   2013, 2014 роки","М2, М3, А, В,І,ІІ, ІІІ",1367486888408629504,"[[50.26487, 28.67669], [50.23318, 28.22074]]",1,Житомир,,6026,з 19.03.2015р. по 18.03.2020р.,Житомир - ПОКОСТІВКА,2,Житомирська область,щоденно
РОГІЗНО ч/з Любар,"2006, 2014 роки","М2, М3, В, ІІ, ІІІ",1367486888408629504,"[[50.26487, 28.67669], [49.77545509999999, 27.7236369]]",1,Житомир,,6028,з 19.03.2015р. по 18.03.2020р.,Житомир - РОГІЗНО ч/з Любар,2,Житомирська область,щоденно
ТЕТЕРІВСЬКИЙ МАСИВ із заїздом у с. Буки,"1998, 2000,   2004, 2013 роки","М2, М3, А, В,І,ІІ, ІІІ",1367486888408629504,"[[50.26487, 28.67669], [50.1944095, 28.3533913]]",1,Житомир,,6029,з 19.03.2015р. по 18.03.2018р.,Житомир - ТЕТЕРІВСЬКИЙ МАСИВ із заїздом у с. Буки,3,Житомирська область,щоденно
