coords,lat,lng,name
"['47.43694', '35.27417']",47.43694,35.27417,"Василівка, Україна"
"['49.66357', '25.77616']",49.66357,25.77616,"Збараж, Україна"
"['50.58518', '34.4849']",50.58518,34.4849,"Лебедин, Україна"
"['50.34004', '26.64171']",50.34004,26.64171,"Нетішин, Україна"
"['48.64331', '25.73794']",48.64331,25.73794,"Заліщики, Україна"
"['48.53115', '25.03649']",48.53115,25.03649,"Коломия, Україна"
"['49.01187', '24.37308']",49.01187,24.37308,"Калуш, Україна"
"['50.09693', '25.72459']",50.09693,25.72459,"Кременець, Україна"
"['48.44942', '33.68629']",48.44942,33.68629,"Авангард, Україна"
"['51.5835', '27.34463']",51.5835,27.34463,"Березове, Україна"
"['49.32509', '28.08094']",49.32509,28.08094,"Літин, Україна"
"['48.03876', '38.59685']",48.03876,38.59685,"Торез, Україна"
"['51.55297', '24.38196']",51.55297,24.38196,"Дубечне, Україна"
"['47.57119', '34.39637']",47.57119,34.39637,"Нікополь, Україна"
"['48.807', '24.53834']",48.807,24.53834,"Богородчани, Україна"
"['48.83716', '27.27434']",48.83716,27.27434,"Нова Ушиця, Україна"
"[None, None]",,,"Святогірськ, Україна"
"['49.89928', '28.60235']",49.89928,28.60235,"Бердичів, Україна"
"['49.43544', '25.15086']",49.43544,25.15086,"Козова, Україна"
"['51.67822', '33.9162']",51.67822,33.9162,"Глухів, Україна"
"['49.80311', '28.72132']",49.80311,28.72132,"Глухівці, Україна"
"['50.18545', '27.06365']",50.18545,27.06365,"Шепетівка, Україна"
"['49.27832', '38.91069']",49.27832,38.91069,"Старобільськ, Україна"
"['48.74838', '30.22184']",48.74838,30.22184,"Умань, Україна"
"['49.75182', '31.46004']",49.75182,31.46004,"Канів, Україна"
"['51.56351', '26.90628']",51.56351,26.90628,"Озера, Україна"
"['48.44648', '24.55019']",48.44648,24.55019,"Яремча, Україна"
"['49.03324', '24.02589']",49.03324,24.02589,"Долинська, Україна"
"[None, None]",,,"Гадян, Україна"
"['48.65803', '30.81821']",48.65803,30.81821,"Новоархангельськ, Україна"
"['48.56818', '38.64352']",48.56818,38.64352,"Стаханов, Україна"
"['49.01709', '25.79804']",49.01709,25.79804,"Чортків, Україна"
"['49.21114', '25.92165']",49.21114,25.92165,"Хоростків, Україна"
"['48.11503', '39.09128']",48.11503,39.09128,"Антрацит, Україна"
"['48.81631', '24.19026']",48.81631,24.19026,"Перегінське, Україна"
"['48.44692', '25.56937']",48.44692,25.56937,"Снятин, Україна"
"['48.44747', '27.41678']",48.44747,27.41678,"Сокиряни, Україна"
"['51.3509', '25.84738']",51.3509,25.84738,"Кузнецовськ, Україна"
"['50.36776', '33.26024']",50.36776,33.26024,"Лохвиця, Україна"
"['49.78001', '31.35298']",49.78001,31.35298,"Тростянець, Україна"
"['48.05657', '38.43826']",48.05657,38.43826,"Шахтарськ, Україна"
"['48.68496', '29.23679']",48.68496,29.23679,"Ладижин, Україна"
"['49.04894', '33.24106']",49.04894,33.24106,"Світловодськ, Україна"
"['50.37112', '33.99099']",50.37112,33.99099,"Гадяч, Україна"
"['50.12994', '25.25576']",50.12994,25.25576,"Радивилів, Україна"
"['47.98305', '33.266']",47.98305,33.266,"Інгулець, Україна"
"['49.01018', '33.63567']",49.01018,33.63567,"Комсомольськ, Україна"
"['51.61332', '27.13338']",51.61332,27.13338,"Старе село, Україна"
"['49.5341', '38.73067']",49.5341,38.73067,"Білокуракине, Україна"
"['47.17572', '33.94362']",47.17572,33.94362,"Велика Лепетиха, Україна"
"['51.21526', '24.70867']",51.21526,24.70867,"Ковель, Україна"
"['49.06802', '33.42041']",49.06802,33.42041,"Кременчук, Україна"
"['46.75451', '33.34864']",46.75451,33.34864,"Нова Каховка, Україна"
"['48.40514', '29.24775']",48.40514,29.24775,"Ободівка, Україна"
"['49.45', '24.93333']",49.45,24.93333,"Бережани, Україна"
"['49.60321', '32.86761']",49.60321,32.86761,"Оболонь, Україна"
"['45.34929', '28.84079']",45.34929,28.84079,"Ізмаїл, Україна"
"[None, None]",,,"Щацьк, Україна"
"['49.5464', '39.08987']",49.5464,39.08987,"Новопсков, Україна"
"['51.5217', '32.21568']",51.5217,32.21568,"Мена, Україна"
"['50.12157', '26.11424']",50.12157,26.11424,"Шумськ, Україна"
"['47.49865', '34.6574']",47.49865,34.6574,"Енергодар, Україна"
"['49.66968', '27.01354']",49.66968,27.01354,"Красилів, Україна"
"['50.39105', '24.23514']",50.39105,24.23514,"Червоноград, Україна"
"['50.12424', '27.51087']",50.12424,27.51087,"Полонне, Україна"
"['48.52254', '36.08256']",48.52254,36.08256,"Тернівка, Україна"
"['48.04701', '35.13977']",48.04701,35.13977,"Ульяновка, Україна"
"['50.98478', '32.92078']",50.98478,32.92078,"Гайворон, Україна"
"['51.89085', '31.59741']",51.89085,31.59741,"Городня, Україна"
"['48.43919', '22.71779']",48.43919,22.71779,"Мукачево, Україна"
"['50.77233', '29.23833']",50.77233,29.23833,"Малин, Україна"
"['50.50276', '31.78492']",50.50276,31.78492,"Згурівка, Україна"
"['49.15166', '35.87198']",49.15166,35.87198,"Сахновщина, Україна"
"['49.28672', '23.43238']",49.28672,23.43238,"Борислав, Україна"
"[None, None]",,,"Колодрібка, Україна"
"['49.15652', '23.87232']",49.15652,23.87232,"Моршин, Україна"
"['49.10479', '29.21773']",49.10479,29.21773,"Іллінці, Україна"
"['48.6348', '24.56936']",48.6348,24.56936,"Надвірна, Україна"
