,Lat,Long,new_name,old_name
374,48.85149,26.19909,Скала-Подільська,"Скала-Подільська, Україна"
375,50.35269,30.95501,Бориспіль,"Бориспіль, Україна"
376,48.6845,26.58559,Кам'янець-Подільський,"Кам'янець-Подільський, Україна"
377,48.44598,27.7982,Могилів-Подільський,"Могилів-Подільський, Україна"
378,46.07251,30.46538,Затока,"Затока, Україна"
379,50.59412,27.6165,Новоград-Волинський,"Новоград-Волинський, Україна"
380,50.80697,27.31676,Городниця,"Городниця, Україна"
381,51.99692100000001,33.2643783,Новоград-Сіверський,"Новоград-Сіверський, Україна"
382,48.4001464,27.0034784,Росашани,"Росашани, Україна"
383,51.62412,24.95864,Камінь,"Камінь, Україна"
384,50.50186,24.76149,Горохів,"Горохів, Україна"
385,52.04545,33.94517,Дружба,"Дружба, Україна"
386,48.50322,24.83903,Марковка,"Марковка, Україна"
387,49.12179,24.72578,Галич,"Галич, Україна"
388,49.08909,25.17327,Монастириська,"Монастириська, Україна"
389,49.41894,31.25865,Корсунь-Шевченківський,"Корсунь-Шевченківський, Україна"
390,52.00577,33.2615,Новгород-Сіверський,"Новгород-Сіверський, Україна"
391,52.2967,32.56979,Жовтневе,"Жовтневе, Україна"
392,47.48481,34.41146,Кам'янка-Дніпровська,"Кам'янка-Дніпровська, Україна"
393,48.77607,25.87548,Більче,"Більче, Україна"
394,48.54225,28.11473,Чернівці (Вінницька область),"Чернівці (Вінницька область), Україна"
395,50.44295,25.97751,Заруддя,"Заруддя, Україна"
396,51.80105,31.08383,Ріпки,"Ріпки, Чернігівська область"
397,51.34567,32.87794,Батурин,"Батурин, Чернігівська область"
398,51.52387,32.49985,Сосниця,"Сосниця, Чернігівська область"
399,51.59374,32.78931,Конятин,"Конятин, Чернігівська область"
400,52.2482098,33.0521779,Б.Вороб'ївська,"Б.Вороб'ївська, Чернігівська область"
401,50.66384,32.91867,Срібне,"Срібне, Чернігівська область"
402,51.42369,32.99422,Атюша,"Атюша, Чернігівська область"
403,51.72622,32.85255,Понорниця,"Понорниця, Чернігівська область"
404,51.82308,33.07011,Мезин,"Мезин, Чернігівська область"
405,51.18144,32.83463,Бахмач,"Бахмач, Чернігівська область"
406,50.49503,32.71968,Варва,"Варва, Чернігівська область"
407,50.91334,31.1214,Козелець,"Козелець, Чернігівська область"
408,51.37345,31.64661,Куликівка,"Куликівка, Чернігівська область"
409,51.70684,33.14009,Розльоти,"Розльоти, Чернігівська область"
410,51.51547,32.70726,Шабалинів,"Шабалинів, Чернігівська область"
411,50.95783,31.92085,Талалаївка (Чернігівська),"Талалаївка, Чернігівська область"
412,51.11814,32.43403,Плиски,"Плиски, Чернігівська область"
413,51.7026,30.65692,Любеч,"Любеч, Чернігівська область"
414,50.1396,32.12512,Шрамківка,"Шрамківка, Черкаська область"
415,49.93936,31.93198,Безпальче,"Безпальче, Черкаська область"
416,50.19217,32.0897,Кононівка,"Кононівка, Черкаська область"
417,49.0318,32.10396,Кам'янка,"Кам'янка, Черкаська область"
418,48.7427808,31.1315283,Потоки,"Потоки, Черкаська область"
419,48.96349,30.33366,Маньківка,"Маньківка, Черкаська область"
420,49.1985931,31.8997116,Сміла (ст. Шевченка),"Сміла (ст. Шевченка), Черкаська область"
421,46.8550216,35.3586996,Мелітополь,"Мелітополь, Черкаська область"
422,49.24545,30.1102,Жашків,"Жашків, Черкаська область"
423,49.28489,31.44513,Городище,"Городище, Черкаська область"
424,49.24924,31.00756,Моринці,"Моринці, Черкаська область"
425,48.9553,30.96823,Катеринопіль,"Катеринопіль, Черкаська область"
426,48.87528,30.88228,Колодисте,"Колодисте, Черкаська область"
427,47.8388,35.139567,Запоріжжя,"Запоріжжя, Черкаська область"
428,47.5015067,34.6341859,Енергодар,"Енергодар, Черкаська область"
429,49.38091,32.68108,Жовнине,"Жовнине, Черкаська область"
430,48.76442,30.97396,Ямпіль,"Ямпіль, Черкаська область"
431,49.4457852,32.5126851,Москаленики,"Москаленики, Черкаська область"
432,49.53856,32.55775,Степове,"Степове, Черкаська область"
433,48.99062,30.98818,Єрки,"Єрки, Черкаська область"
434,49.39963,30.96799,Сидорівка,"Сидорівка, Черкаська область"
435,48.762868,31.2635614,Ярошівка,"Ярошівка, Черкаська область"
436,50.11919,32.24892,Степанівка,"Степанівка, Черкаська область"
437,50.17053,32.05794,Ковалівка,"Ковалівка, Черкаська область"
438,49.94131,32.37656,Білоусівка,"Білоусівка, Черкаська область"
439,49.8437741,32.2046496,В.Згарська,"В.Згарська, Черкаська область"
440,49.8371,32.33459,Богданівка,"Богданівка, Черкаська область"
440,50.819459, 31.977396,Богданівка (Чернігівська),"Богданівка, Чернігівська область"
441,50.00482,32.30342,Перервинці,"Перервинці, Черкаська область"
442,49.6617919,32.0477111,м.Золотоноша,"м.Золотоноша, Черкаська область"
443,48.7344267,31.115392,Кобилянка,"Кобилянка, Черкаська область"
444,49.4542377,31.4769975,Корсунь АС — Драбівка                                 (через с,"Корсунь АС — Драбівка                                 (через с, Черкаська область"
445,49.5093146,31.3692093,Корсунь АС —Бровахи                                                                  (через с.Кірове,"Корсунь АС —Бровахи                                                                  (через с.Кірове,с.Буда, Черкаська область"
446,49.4880852,31.0874262,Корсунь АС —Виграїв ( через с.Моринці,"Корсунь АС —Виграїв ( через с.Моринці,с.Нехворощ,с, Черкаська область"
