id,route_name,first,second,company_id,regulative_institution,route_number,route_regularity,drives_per_day,bus_comfort_level,bus_age,license_data,company_name,number_of_buses,count
146,Тернопіль-Нетішин,Тернопіль,Нетішин,5199018134835842418,Укртрансбезпека ,29/30,Прямий та зворотній рейси виконуються Пт.Суб.Нед.,один ,"М3, ІІІ",Починаючи з 2006 року,22.09.2011-21.09.2016,"ФОП Андрушків Т.І., адреса: вул. Лучаківського, буд.11,кв.113, м.Тернопіль, 46000, АЕ 269000",1+1,1
147,Краматорськ-Бердянськ,Краматорськ,Бердянськ,2296753335361943255,Укртрансбезпека ,29/30,щоденно,один ,"М3, ІІІ",Починаючи з 1996 року,29.09.2011-28.09.2016,"ПрАТ ""Краматорське АТП-11410"", адреса:вул.Орджонікідзе, 6, м.Краматорськ, Донецька область, АГ 590921",1+1,1
148,Чемерівці-Вінниця,Чемерівці,Вінниця,661442258415574900,Укртрансбезпека ,29/30,щоденно,один ,"М3, ІІІ",Починаючи з 1987 року,06.06.2015-05.06.2020,"ТДВ ""Чемеровецьке АТП 16847"", адреса: Гусятинське шосе, 4, смт.Чемерівці, Чемеровецький район, Хмельницька область, 31600, АГ 592524",1+1,1
150,Лугини-Київ,Лугини,Київ,3701352569754742828,Укртрансбезпека ,29/30,щоденно,один ,"М3, ІІІ",Починаючи з 2008 року,26.12.2015-25.12.2020,"ТОВ ""Автосвіт ЛТД"", адреса: вул.Жовтнева, 50, м.Коростень, Житомирська область, 11500, АД 062473",1+1,1
153,Керч-Херсон,Керч,Херсон,3094758596034298799,Укртрансбезпека ,31/32,щоденно,один ,"М3, ІІІ",Починаючи з 1987 року,19.06.2011-18.06.2016,"ВАТ ""Керченське АТП 14313"", адреса: вул. Вокзальне шосе, 44, м.Керч, АР Крим, 98302, АГ 593939",2+1,1
154,Зарічне-Луцьк,Зарічне,Луцьк,7937812522986568261,Укртрансбезпека ,31/32,щоденно,один ,"М3, ІІІ",Починаючи з 1989 року,11.11.2015-10.11.2020,"ФОП Мельник О.М., адреса: вул. Центральна, 4Б, с.Млинок, Зарічненський район, Рівненська область, AE 265825",1+1,1
155,Дніпропетровськ-Ряське,Дніпропетровськ,Ряське,0,Укртрансбезпека ,31/32,щоденно,один ,"М2, М3, В, ІІ, ІІІ",NA,NA,NA,1+1,1
156,Тернопіль-Нововолинськ,Тернопіль,Нововолинськ,9042164462590459645,Укртрансбезпека ,31/32,щоденно,один ,"М3, ІІІ",Починаючи з 2007 року,25.11.2015-24.11.2020,"ТДВ ""Нововолинське АТП 10708"", адреса: вул.Шахтарська,  40, м.Нововолинськ, Волинська область, АГ 504913",1+1,1
157,Запоріжжя-Харцизьк,Запоріжжя,Харцизьк,2012851984448266031,Укртрансбезпека ,31/32,щоденно,один ,"М3, ІІІ",Починаючи з 2004 року,20.10.2011-19.10.2016,"ТОВ ""Стат-Пілігрім"", адреса: вул.Східна, буд. 9, м.Запоріжжя, 69083, АГ 587181",1+1,1
159,Київ-Ямпіль,Київ,Ямпіль,8176372806306554827,Укртрансбезпека ,31/32,щоденно,один ,"М3, ІІІ",Починаючи з 2004 року,05.09.2015-04.09.2019,"ПП ""ТВАД"", адреса: просп.Палладіна, буд.18/30, кв.52, м.Київ, 03142, АГ 590907",2+1,1
160,Миколаїв-Ізмаїл,Миколаїв,Ізмаїл,0,Укртрансбезпека ,31/32,щоденно,один ,"М3, ІІІ",NA,NA,NA,2+1,1
161,Луганськ-Сєдове,Луганськ,Сєдове,2399705439284969868,Укртрансбезпека ,33/34,щоденно,один ,"М3, ІІІ",Починаючи з 2006 року,27.09.2013-26.09.2018,"ТОВ ""УШ АТП 10943"", адреса:вул.Михайла Донця, буд.17/46, м.Київ, 01326, АЕ 421372 ",2+1,1
163,Дніпропетровськ-Нехвороща,Дніпропетровськ,Нехвороща,3980604577574159084,Укртрансбезпека ,33/34,щоденно,один ,"М2, М3, В, ІІІ",Починаючи з 1996 року,17.03.2013-16.03.2018,"ТДВ ""Автопромінь"", адреса: вул. Філософська, буд. 39, м.Дніпропетровськ, 49000, АД 076964",1+1,1
166,Чечельник-Київ,Чечельник,Київ,925510290047060441,Укртрансбезпека ,33/34,в період з 01.06. по 01.09 виконується щоденно,один ,"М3, ІІІ",Починаючи з 2007 року,01.02.2012-31.01.2017,"ТОВ ""Автомобільна  компанія ""Транспортні лінії України"", адреса: вул.Виставочна, 2-В, м.Кіровоград, 25014, АГ 586996",1+1,1
168,Сватове-Харків,Сватове,Харків,3644135004833218335,Укртрансбезпека ,33/34,Прямий та зворотній рейси виконуються Пон.Вівт.Сер.Чт.Пт.,один ,"М3, ІІІ",Починаючи з 1987 року,19.08.2011-18.08.2016,"ФОП Чумаков В.О., адреса: вул. Весела, 180, м.Сватове, Луганська область, 92600, АГ 592485,",1+1,1
174,Харків-Суми,Харків,Суми,9026822688152514942,Укртрансбезпека ,35/36,щоденно,один ,"М3, ІІІ",Починаючи з 1996 року,19.05.2011-18.05.2016,"ТОВ ""ГОРТРАНС"", адреса: просп. Правди, буд.1, м.Харків, АД 077041",1+1,1
175,Львів-Кременець,Львів,Кременець,3210629315538505396,Укртрансбезпека ,35/36,щоденно,один ,"М3, ІІІ",Починаючи з 2008 року,31.12.2011-30.12.2016,"ТЗОВ ""Львівське АТП-14631"", адреса: вул.Пластова, 10, м.Львів, 79056, АВ550341",1+1,1
182,Миколаїв-Скадовськ,Миколаїв,Скадовськ,6430936385782002836,Укртрансбезпека ,37/38,в період з 01.06. по 31.08 виконується щоденно,один ,"М3, ІІІ",Починаючи з 1998 року,17.07.2014-16.07.2019,"ПП ""КУЛИДА"", адреса: вул.Кірова, буд.51-А, м.Скадовськ, Херсонська область, 75700, АВ 550274",1+1,1
184,"Одеса - Коблеве (б/в ""Зоря"")",Одеса,Коблеве,9201700800669045473,Укртрансбезпека ,37/38,щоденно,один ,"М2, М3, В, ІІ, ІІІ",Починаючи з 2006 року,26.04.2014-25.04.2019,"ПАТ ""Чорноморська транспортна компанія"", адреса:вул.Новощепний ряд, 5, м.Одеса, 65007, АГ588936",1+1,1
185,Мелітополь-Дніпропетровськ,Мелітополь,Дніпропетровськ,0,Укртрансбезпека ,37/38,щоденно,один ,"М3, ІІІ",NA,NA,NA,1+1,1
189,Верховина-Чернівці,Верховина,Чернівці,2750789635461903006,Укртрансбезпека ,39/40,щоденно,один ,"М2, М3, В, ІІ, ІІІ",Починаючи з 1994 року,29.07.2015-28.07.2020,"Косівське акціонерне товариство ""Скіф-Авто"", адреса: вул.Грушевського, 5, м.Косів, Івано-Франківська область, 78600, АГ 587957",1+1,1
193,"Одеса - Коблеве (б/в ""Зоря"")",Одеса,Коблеве,0,Укртрансбезпека ,39/40,в період з 15.05. по 15.09 виконується щоденно,один ,"М2, М3, В, ІІ, ІІІ",NA,NA,NA,1+1,1
196,Львів-Коломия,Львів,Коломия,0,Укртрансбезпека ,41/42,щоденно,один ,"М3, ІІІ",NA,NA,NA,2+1,1
197,Хмельницький-Кременець,Хмельницький,Кременець,0,Укртрансбезпека ,41/42,Прямий та зворотній рейси виконуються Пт.Нед.,один ,"М3, ІІІ",NA,NA,NA,1+1,1
199,Київ-Умань,Київ,Умань,381580302010992688,Укртрансбезпека ,41/42,щоденно,один ,"М3, ІІІ",Починаючи з 1995 року,09.05.2015-08.05.2020,"ТОВ ""Круїз-авто"", адреса: вул.Вокзальна,1 Б, м.Умань, Черкаська область, 20300, АГ 593931",1+1,1
201,Свердловськ-Київ,Свердловськ,Київ,0,Укртрансбезпека ,41/42,щоденно,один ,"М3, ІІІ",NA,NA,NA,1+1,1
207,Долиняни-Львів,Долиняни,Львів,3210629315538505396,Укртрансбезпека ,43/44,щоденно,один ,"М2, М3, В, ІІ, ІІІ",Починаючи з 2011 року,16.12.2015-15.12.2020,"ТЗОВ ""Львівське АТП-14631"", адреса: вул.Пластова, 10, м.Львів, 79056, АВ550341",1+1,1
